JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,
BOM name：JLC_BOM-JLCPCB Assembly Order.xlsx,,,Download Time：2025-12-08 00:43:43,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
PCB Assembled Qty：5,,,Est. Total Price：67.4383,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
U5,,MSM261DGT003,LGA-6(2x4),,Select by System,MSM261DGT003,MEMS,LGA-6(2x4),LGA-6(2x4) MEMS Microphones ROHS,MEMS Microphones,,C48227730,https://jlcpcb.com/partdetail/MEMS-MSM261DGT003/C48227730,Extended,2,2 JLCPCB,1.641
U6,,USBLC6-2P6,SOT-666-6,,Select by System,USBLC6-2P6,TECH PUBLIC,SOT-666-6,-55℃~+125℃ 0.35pF 14V 2 5.5A 5V 6V 80W 80nA ESD IEC 61000-4-2 Unidirectional SOT-666-6 ESD and Surge Protection (TVS/ESD) ROHS,ESD And Surge Protection (TVS/ESD),,C2827693,https://jlcpcb.com/partdetail/TECHPUBLIC-USBLC62P6/C2827693,Extended,5,5 JLCPCB,0.54
U7,,MCP23017_SO,SOIC-28-300mil,,Select by System,MCP23017T-E/SO,Microchip Tech,SOIC-28-300mil,-40℃~+125℃ 1.7MHz 1.8V~5.5V 16 3mA 3uA 600mV 8 8mA I2C Interrupt Output SOIC-28-300mil I/O Expanders ROHS,I/O Expanders,,C629440,https://jlcpcb.com/partdetail/MicrochipTech-MCP23017T_ESO/C629440,Extended,2,2 JLCPCB,3.747
U8,,PAM8403D,SOIC-16,,Select by System,PAM8403DR-H,Diodes Incorporated,SOIC-16,-40℃~+85℃ -59dB 0.15% 2-Channel 2.8V~5.5V 3Wx2@4Ω 80dB 87% 8mA Class D SOIC-16 Audio Amplifiers ROHS,Audio Amplifiers,,C17337,https://jlcpcb.com/partdetail/DiodesIncorporated-PAM8403DRH/C17337,Extended,2,2 JLCPCB,0.876
U9,,PCM5102A,TSSOP-20,,Select by System,PCM5102APWR,Texas Instruments,TSSOP-20,-25℃~+85℃ 1.8V~3.3V 2 32 384kHz 500uA 50MHz Audio Decoder I2S TSSOP-20 ADCs/DACs - Special Purpose ROHS,ADCs/DACs - Special Purpose,,C107671,https://jlcpcb.com/partdetail/TexasInstruments-PCM5102APWR/C107671,Extended,2,2 JLCPCB,2.055
U10,,ST25DV04KC-IE6S3,SO-8,,Select by System,ST25DV04KC-IE6S3,STMicroelectronics,SO-8,"1.8V~5.5V 13.56MHz 53Kbit/s I2C ISO 15693,NFC SO-8 RFID ICs ROHS",RFID ICs,,C3304276,https://jlcpcb.com/partdetail/STMicroelectronics-ST25DV04KCIE6S3/C3304276,Extended,2,2 JLCPCB,1.116
U11,,SHT41I-AD1B-R2,DFN-4(1.5x1.5),,Select by System,SHT41I-AD1B-R2,Sensirion,DFN-4(1.5x1.5),-40℃~+125℃ 0%RH~100%RH 16bit 2.3V~5.5V 21uA I2C ±0.2℃ ±2%RH DFN-4(1.5x1.5) Temperature and Humidity Sensor ROHS,Global Sourcing Parts,,C3664410,https://jlcpcb.com/partdetail/Sensirion-SHT41I_AD1BR2/C3664410,Extended,2,2 JLCPCB,5.985
U13,,QMC6309,WLCSP-4(0.8x0.8),,Select by System,QMC6309,QST,WLCSP-4(0.8x0.8),-40℃~+85℃ 16bit 2.5V~3.6V 6uA I2C ±3.2mT ±3.2mT WLCSP-4(0.8x0.8) 3D Magnetic Sensors ROHS,3D Magnetic Sensors,,C5439871,https://jlcpcb.com/partdetail/QST-QMC6309/C5439871,Extended,5,5 JLCPCB,1.6555
U14,,ICM-45605,LGA-14,,Select by System,ICM-45605,TDK InvenSense,LGA-14,"-40℃~+85℃ 16bit 2.2uA 2KB IMU SPI X,Y,Z X,Y,Z ±16g ±2000dps LGA-14 Accelerometers ROHS",,,C38673635,https://jlcpcb.com/partdetail/TDKInvenSense-ICM45605/C38673635,Extended,2,2 JLCPCB,17.412
U15,,TCS34001FNM,DFN-6_L2.4-W2.0-P0.65-BL,,Select by System,TCS34001FNM,AMS,DFN-6(2x2.4),"-40℃~+70℃ 2.4mm 2.7V~3.6V 235uA 2mm Color Recognition I2C Red, Green, Blue, IR DFN-6(2x2.4) Ambient Light Sensors ROHS",Ambient Light Sensors,,C2153593,https://jlcpcb.com/partdetail/AMS-TCS34001FNM/C2153593,Extended,2,2 JLCPCB,4.74
U17,,SGP40-D-R4,DFN-6-EP(2.4x2.4),,Select by System,SGP40-D-R4,Sensirion,DFN-6-EP(2.4x2.4),-10℃~+50℃ 0.85mm 0.8mm 0ppm~1000ppm 1.7V~3.6V 2.44mm 2.44mm 2.6mA Air Quality I2C DFN-6-EP(2.4x2.4) Gas Sensors ROHS,Global Sourcing Parts,,C2874215,https://jlcpcb.com/partdetail/Sensirion-SGP40_DR4/C2874215,Extended,2,2 JLCPCB,9.465
